word,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ana,a-ṣa-a-te,e-na,a-na,am-ma-la,ana,a-UGU,a-da-at,am-me-ni,a-ša₂-šu-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
šarru,LUGAL-ma,LUGAL-MEŠ,LUGAL-ni,šar-ri-ma,LUGAL,LUGAL-ia,LUGAL-e,LUGAL-ku-nu,šar-ri,MAN-MEŠ-ni,MAN,LUGAL-MEŠ-ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anāqutu,a-na-qat,{ANŠE}a-na-qa-te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zakû,za-a-ku,u₂-zak-ki-šu₂-nu,za-ku-tu₂,za-ku-u₂,u₂-za-ku-ni,u₂-zak-ku-u₂-ni,u₂-za-ku-u₂-ni,za-ki-u,za-ku-u-te,u₂-zak-ki-ma,za-ku,za-ku-u,u₂-za-ki-u₂,u₂-zak-ku-ma,za-ku-te,u₂-zak-ki,u₂-za-ta-ki,za-ka-ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mā,ma-a,ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muhhu,UGU,UGU-hi-šu-nu,UGU-hi-a,UGU-šu₂-nu,UGU-ni,UGU-hi-ka,UGU-hi-ia-a-ni,UGU-hi-ia₂,UGU-hi-ša₂,UGU-hi,muh-hi,UGU-hi-ku-nu,UGU-hi-šu,UGU-ia,UGU-ka,UGU-hi-šu₂-ma,UGU-hi-ia,UGU-hi-šu₂-nu,UGU-ia₂,UGU-hi-šu₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubtu,hu-ub-tu,{LU₂}hu-ub-tu₂,{LU₂}hu-ub-tu,{LU₂}hu-ub-te,{LU₂}hu-ub-ti-ma,{LU₂}hu-ub-ti,hu-ub-tu₂,hu-ub-te,hu-ub-ti,{LU₂}hu-ub-te-šu₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ša,ša,ša₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ištu,TA@v,ul-tu,TA,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimašqa,{URU}di-maš-qa,{URU}di-maš-qi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mātu,ma-a-tu₂,KUR-aš-šur,KUR-i-ni,KUR-ma,{KUR}ma-a-tu₂,KUR-MEŠ,KUR-na-ki-ri,KUR-a,KUR-e,KUR-aš-šur{KI},KUR-ia,KUR-ka,ma-a-ti,KUR-šu₂-ni,KUR,KUR-šu₂-nu,KUR-šu,ma-ti-ni,KUR.KUR,KUR.KUR-MEŠ,KUR-su,ma-a-te,KUR-šu₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etēqu,e-te-te-eq,e-ti-qu-ni,te-ti-qi,le-ti-qa,e-ti-iq,et-qa,lu-še-ti-qu-u-ni,u₂-še-ta-qu-u₂-ni,i-te-qu,šu-te-tu-qe-e,e-ta-at-qu,e-te-ti-iq,u₂-še-taq,te-te-qe,u₂-se-te-qa,lu-še-ti-qi,u₂-še-ta-qu-šu-u₂-ni,i-ti-te-iq,e-te-ti-qa,et-ti-qu,e-te-qe,le-ti-qu,u₂-se-ti-iq,et-ti-iq,le-ti-qu-ni,e-te-te-qe,še-tu-qi,u₂-sa-ne₂-taq-a-ni,et-qa-ni,e-ti-qi,e-ta-qi,e-ta-na-at-ti-iq,le-e-ti-qu,u₂-se-ti-qa-aš₂-šu₂-nu,nu-še-ta-qa,lu-u-še-ti-qu,e-ti-qu,ne₂-ta-at-qa,e-te-tiq,e-ti-qu-u-ni,e-te-eq-qu-u-ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
