Aba
Abatte
Abdudu
Abilate
Abnana
Absiyayu
abul-sikkati
abul-tebiri
Adarihiti
Adia
Adian
Adin
Adinni
Agganu
Ahriye
Ahsana
Aira
Akkad
Akkadu
Akku
Akkuddu
Akuʾanu
Al-Adad
Al-apiani
Al-Aššur
Al-Bel-iqbi
Al-erib-beti
Al-nukaribbi
Al-Qabasi
Al-raʾani
Al-siraše
Al-susani
Al-šukkalli
Alakasliš
Alamu
Alihu
Alikina
Alu-ša-habišu
Alu-ša-kubšatešu
Alu-ša-mar-šarri
Alu-ša-marʾat-šarri
Alu-ša-raṭatišu
Alu-ša-tamkari
Alu-šarri
Alzi
Alzunu
Amantu
Amedi
Amidu
Ammana
Ammanana
Ammanayu
Ampihabi
Ampihapi
Amqarruna
Amul
Amurru
Anat
Andarpatianu
Andia
Andita
Anduli
Anisu
Anisus
Antaṣ
Apak
Apalla
Aparu
Apiani
Apinunu
Apku
Appina
Apšu
Araši
Arbaga
Arbail
Arbaṣina
Arbuna
Ardizi
Argada
Argistiani
Argite
Argue
Arhi
Ariawate
Aridu
Armiraliu
Arpadda
Arragdi
Arrakdi
Arranu
Arrapha
Arri
Arṣua
Arubu
Arwada
Arzabia
Arzizi
Arzizu
Arzuhina
Asayati
Asdudu
Asihu
Aššur
Aššur-eṭir
Aššur-neše
Atlur
Attia
Aynata
Azaʾi
Azari
Baʾalu
Bab-Aššur
Bab-Barsip
Bab-bitqi
Bab-burti
Bab-duri
Bab-Hamri
Bab-Marrat
Bab-sami
Babili
Babiti
Badani
Baduʾa
Balaṭ
Balihu
Bambuki
Bananu
Banbala
Banniši
Baqar
Baqarru
Bar-Uri
Barhalza
Barhalzi
Barihtu
Bariku
Barsip
Barzaništa
Barzundi
Bašimu
Bazre
Bazu
Bel-eriba
Bel-iqbi
Bel-naʾdi
Bet-Adad
Bet-Nayalani
Biduʾa
Bienši
Bir-nari
Birate
Birati
Birdunu
Birtu
Bit-Abdadani
Bit-abu-ilaʾi
Bit-Adad-ereš
Bit-Adad-leʾi
Bit-Adini
Bit-Amukani
Bit-Amukanni
