,name,index,coordinates,northeast,southwest
49,Bahcecik,0,"(40.66896, 29.898653)","(40.6774227, 29.9146604)","(40.6604963, 29.8826456)"

50,בלאוואת,0,"(36.222559, 43.4150933)","(36.2259962, 43.4183979)","(36.219072, 43.41114520000001)"

51,Bassetki,0,"(36.9566705, 42.7278118)","(36.958673, 42.7323718)","(36.9537908, 42.7220587)"

52,Bastam,0,"(36.4846777, 54.9983623)","(36.4909212, 55.0086737)","(36.4778266, 54.9902629)"

53,Bastam,0,"(36.4846777, 54.9983623)","(36.4909212, 55.0086737)","(36.4778266, 54.9902629)"

54,בתיר,0,"(31.728181, 35.138032)","(31.737671, 35.15403939999999)","(31.7186901, 35.1220246)"

55,Başkale,0,"(38.0476, 44.0149)","(38.056878, 44.035559)","(38.028979, 44.0064318)"

56,Bingöl Dağları,0,"(39.3341506, 41.3341661)","(39.3427804, 41.3501735)","(39.3255198, 41.3181587)"

57,מערת שנידאר,0,"(36.831651, 44.22104359999999)","(36.83300082989273, 44.22239342989271)","(36.83030117010728, 44.21969377010727)"

58,Qasr-e Shirin,1,"(34.5159031, 45.5776859)","(34.532475, 45.6105566)","(34.5009688, 45.566268)"

59,Soomar,2,"(33.8816149, 45.6396943)","(33.8888267, 45.6450605)","(33.873667, 45.6362629)"

60,Anubanini rock relief,3,"(34.4627067, 45.8690837)","(34.46412797989272, 45.87022957989272)","(34.46142832010727, 45.86752992010728)"

61,Sarpol Zahab,4,"(34.4513937, 45.8612066)","(34.4748637, 45.884142)","(34.4435833, 45.8424282)"

62,Paveh,5,"(35.0430104, 46.3552713)","(35.0606338, 46.37912739999999)","(35.0302072, 46.3434219)"

63,Gilan Gharb,6,"(34.1397111, 45.9206089)","(34.1518036, 45.9452534)","(34.1279875, 45.90212349999999)"

64,Shush,7,"(32.1957948, 48.254283)","(32.2146891, 48.2899761)","(32.1759031, 48.2338428)"

65,קרמנשאה,8,"(34.4576233, 46.670534)","(35.2948881, 48.0462301)","(33.6447322, 45.4076611)"

66,כתובת ביסותון,9,"(34.3904874, 47.4359591)","(34.39154902989273, 47.43763412989272)","(34.38884937010728, 47.43493447010728)"

67,כרמאנשאה,10,"(34.3276924, 47.0777685)","(34.3993322, 47.1938789)","(34.275207, 46.9978679)"

68,Bisitun Cave,11,"(34.3905566, 47.4370712)","(34.39178162989272, 47.43849157989272)","(34.38908197010728, 47.43579192010728)"

69,Mardin,12,"(37.312903, 40.733951)","(37.340449, 40.766385)","(37.3006559, 40.691066)"

70,Statue of Hercules,13,"(34.3905602, 47.43756639999999)","(34.39186202989272, 47.43894337989272)","(34.38916237010727, 47.43624372010728)"

71,ארמניה,14,"(40.069099, 45.038189)","(41.300993, 46.6342219)","(38.840244, 43.4472601)"

72,איראן,15,"(32.427908, 53.688046)","(39.782056, 63.3333366)","(24.8066999, 44.0326949)"

73,ריי,16,"(35.5770451, 51.4624642)","(35.5969001, 51.4972973)","(35.5482726, 51.4194713)"

