,name,index,coordinates,northeast,southwest
220,אבירי טכנולוגיות,0,"(32.1009361, 34.8622916)","(32.10222612989273, 34.86370057989271)","(32.09952647010728, 34.86100092010727)"

221,Kanis,0,"(52.1246555, 4.894689)","(52.13150539999999, 4.9106964)","(52.1178046, 4.8786816)"

222,Karagündüz,0,"(38.6948, 43.6462)","(38.697821, 43.6481839)","(38.689643, 43.6418981)"

223,Karahan,0,"(37.05236, 35.172911)","(37.06126450000001, 35.1889184)","(37.0434545, 35.1569036)"

224,Karhar,0,"(17.8698773, 73.83528989999999)","(17.87255, 73.84116)","(17.8658899, 73.82849999999999)"

225,caracalla dance school,0,"(33.8779688, 35.5399541)","(33.87932192989273, 35.54129557989272)","(33.87662227010728, 35.53859592010728)"

226,Moni Karakala,1,"(37.61830800000001, 22.9051127)","(37.61987612989272, 22.9071327)","(37.61717647010727, 22.9041582)"

227,Karakala,2,"(41.40275949999999, 2.1565647)","(41.40410127989273, 2.157901429892722)","(41.40140162010728, 2.155201770107277)"

228,K & K Transporte Karakala KG,3,"(48.1877208, 16.2832547)","(48.18909422989271, 16.28453067989272)","(48.18639457010727, 16.28183102010728)"

229,Karakala,4,"(23.9839536, 74.04543470000002)","(23.9866839, 74.04787309999999)","(23.9822532, 74.04289469999999)"

230,LM Agiou Dimitriou (Karakalas),5,"(37.6183094, 22.9052858)","(37.61975872989272, 22.90657027989272)","(37.61705907010728, 22.90387062010728)"

231,Kara Kala,6,"(38.4348566, 56.2873482)","(38.4474046, 56.311369)","(38.4241424, 56.2647628)"

232,Karataş,0,"(36.6649776, 35.2587964)","(36.798939, 35.59287810000001)","(36.5382869, 34.9080491)"

233,Karmir Blur,0,"(40.1531719, 44.4498612)","(40.1565227, 44.4562626)","(40.1495538, 44.4431948)"

234,קארס,0,"(40.6013378, 43.0974525)","(40.6233371, 43.13252380000001)","(40.570057, 43.071051)"

235,Yusuf KASIMOĞLU,0,"(31.7687858, 35.2131775)","(31.77020577989272, 35.21461877989272)","(31.76750612010727, 35.21191912010728)"

236,Kavuncu,0,"(39.404601, 31.933888)","(39.4132221, 31.9498954)","(39.3959789, 31.9178806)"

237,Kef Kalesi,0,"(38.8335725, 42.71916840000001)","(38.83492232989272, 42.72051822989273)","(38.83222267010728, 42.71781857010728)"

238,Kalishin,0,"(36.9166669, 44.8999999)","(36.9255873, 44.9160073)","(36.9077455, 44.8839925)"

239,Kalishin,0,"(36.9166669, 44.8999999)","(36.9255873, 44.9160073)","(36.9077455, 44.8839925)"

240,כרמאנשאה,0,"(34.3276924, 47.0777685)","(34.3993322, 47.1938789)","(34.275207, 46.9978679)"

241,כרמאנשאה,0,"(34.3276924, 47.0777685)","(34.3993322, 47.1938789)","(34.275207, 46.9978679)"

242,Kevenli,0,"(38.474977, 43.4491261)","(38.4770863, 43.4520318)","(38.4735782, 43.4390889)"

243,Keçikıran,0,"(36.9650571, 38.984965)","(36.9698681, 38.9876742)","(36.961422, 38.9795237)"

244,Keçikıran,1,"(40.5683719, 31.383971)","(40.5768473, 31.3999784)","(40.5598954, 31.3679636)"

245,Khafajah / Khafaje,0,"(33.354812, 44.55583550000001)","(33.35810360000001, 44.55769565000001)","(33.35371479999998, 44.55025504999998)"

246,קום,0,"(34.6415764, 50.8746035)","(34.8156355, 50.9421444)","(34.5615291, 50.7619858)"

247,Kızkapanlı,0,"(37.37502, 37.293138)","(37.3838865, 37.30914540000001)","(37.3661525, 37.2771306)"

248,קורסון-שבצ'נקיבסקי,0,"(49.4261119, 31.2618527)","(49.4483229, 31.329841)","(49.390324, 31.224558)"

249,Koçyatağı,0,"(39.910053, 39.2015669)","(39.9186112, 39.2175743)","(39.9014937, 39.1855595)"

250,Kampung Kubang Kuar,0,"(5.959789, 100.469628)","(5.9715241, 100.4780959)","(5.948054, 100.4613052)"

251,המוזיאון הלאומי של עיראק,0,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

252,ישראל,1,"(31.046051, 34.851612)","(33.33280500000001, 35.896244)","(29.47969999999999, 34.2673871)"

253,המוזיאון הבריטי,2,"(51.5194133, -0.1269566)","(51.52145429999999, -0.12477735)","(51.51732029999999, -0.12914235)"

254,Junior Kutha for Boys,0,"(32.745229, 44.6037358)","(32.74657862989272, 44.60510487989271)","(32.74387897010727, 44.60240522010727)"

255,Köşk,0,"(37.853694, 28.052133)","(37.862628, 28.063051)","(37.842851, 28.0435819)"

256,Lagash لكش,0,"(31.411389, 46.407222)","(31.41273882989272, 46.40857182989271)","(31.41003917010728, 46.40587217010727)"

257,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

258,Lagash لكش,1,"(31.411389, 46.407222)","(31.41273882989272, 46.40857182989271)","(31.41003917010728, 46.40587217010727)"

259,המוזיאון הלאומי של עיראק,2,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

260,ארביל,3,"(36.190073, 43.9930303)","(36.2661445, 44.10179610000001)","(36.1284471, 43.91613)"

261,מוסול,4,"(36.3489278, 43.157736)","(36.4395827, 43.2660099)","(36.2660698, 43.0147361)"

262,מחוז די קאר,5,"(31.1042292, 46.3624686)","(31.9975451, 47.2104141)","(30.564833, 45.643673)"

263,Shatrah,6,"(31.4083804, 46.1756813)","(31.4365725, 46.1954498)","(31.3731686, 46.1481571)"

264,מסופוטמיה,7,"(34.5337527, 43.483738)","(37.06718100000001, 48.575909)","(29.1030541, 41.218105)"

265,המוזיאון הבריטי,8,"(51.5194133, -0.1269566)","(51.52145429999999, -0.12477735)","(51.51732029999999, -0.12914235)"

266,ימת אורמיה,0,"(37.6822019, 45.3943312)","(38.2339837, 45.7831729)","(37.1989622, 45.0600578)"

267,ימת אורמיה,0,"(37.6822019, 45.3943312)","(38.2339837, 45.7831729)","(37.1989622, 45.0600578)"

268,Larak,0,"(26.8482909, 56.3712327)","(26.8904974, 56.4135504)","(26.8209303, 56.3146091)"

269,"Larak, Amol",1,"(36.0720004, 52.4538749)","(36.0750486, 52.4566806)","(36.0684578, 52.44958889999999)"

270,LARSA GROUP,0,"(30.5168671, 47.822292)","(30.51819212989271, 47.82360622989273)","(30.51549247010727, 47.82090657010728)"

271,Mahmudabad,0,"(27.2967145, 81.1251235)","(27.3149678, 81.1415004)","(27.2814846, 81.0985851)"

272,Malazgirt,0,"(39.146145, 42.54096)","(39.1605541, 42.566427)","(39.12144199999999, 42.5063241)"

273,Malazgirt,0,"(39.9547258, 32.5641411)","(39.961395, 32.5743059)","(39.9486409, 32.5538021)"

274,Manana Ceramica,0,"(33.2823556, 35.2186181)","(33.28377082989272, 35.22006827989272)","(33.28107117010727, 35.21736862010728)"

275,Qutabkhanhy Zansty-dominated Mardin,0,"(36.1808663, 45.1354491)","(36.18227022989272, 45.13681612989272)","(36.17957057010727, 45.13411647010728)"

276,Mardin High School,1,"(35.5453534, 45.4037127)","(35.54692597989271, 45.40508917989272)","(35.54422632010727, 45.40238952010728)"

277,Derishke,2,"(37.2474658, 43.4383738)","(37.2750774, 43.4674931)","(37.2081832, 43.3985709)"

278,Mardin record shop,3,"(36.380692, 44.2037441)","(36.38196592989271, 44.20530582989272)","(36.37926627010727, 44.20260617010727)"

279,Mardin,4,"(36.1673851, 43.9811935)","(36.16876182989272, 43.98250237989272)","(36.16606217010728, 43.97980272010728)"

280,עירק,5,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

281,Ovaköy,6,"(37.1266589, 42.42371199999999)","(37.1355547, 42.4397194)","(37.1177621, 42.4077046)"

282,Dera Shish,7,"(37.3266906, 42.8001138)","(37.32879210000001, 42.8026271)","(37.3236561, 42.7965116)"

283,Cizre Nuh,8,"(36.853203, 42.90421509999999)","(36.85448347989272, 42.90557292989271)","(36.85178382010728, 42.90287327010727)"

284,כורדיסטאן העיראקית,9,"(36.4103395, 44.38719529999999)","(37.3712486, 46.3320922)","(34.4539171, 41.2783813)"

285,נציבין,10,"(37.0696439, 41.213997)","(37.10248800000001, 41.2508009)","(37.064952, 41.195017)"

286,Değirmencik,11,"(37.15304700000001, 41.619826)","(37.1619397, 41.6358334)","(37.1441533, 41.6038186)"

287,Ilisu Dam,12,"(37.5328228, 41.8433957)","(37.53351690000001, 41.84432590000001)","(37.53074049999999, 41.8406051)"

288,Ilısu,13,"(37.5203032, 41.8283466)","(37.551574, 41.8563931)","(37.49377399999999, 41.806945)"

289,Güneli,14,"(37.1720479, 41.52082300000001)","(37.1809383, 41.5368304)","(37.1631564, 41.5048156)"

290,Koçan,15,"(37.336667, 41.43)","(37.345538, 41.4460074)","(37.32779490000001, 41.4139926)"

291,Mor Gabriel Monastery,16,"(37.3218136, 41.5384148)","(37.32316342989272, 41.53976462989272)","(37.32046377010728, 41.53706497010728)"

292,Mardin,17,"(37.312903, 40.733951)","(37.340449, 40.766385)","(37.3006559, 40.691066)"

293,Mardin Tımarhane,18,"(37.312903, 40.733951)","(37.31424177989272, 40.73530287989272)","(37.31154212010728, 40.73260322010728)"

294,İMSAN Group Kızıltepe Mardin,19,"(37.1859433, 40.5914282)","(37.18728482989273, 40.59282852989272)","(37.18458517010728, 40.59012887010727)"

295,Günyurdu,20,"(37.13871, 41.452476)","(37.1476044, 41.4684834)","(37.1298146, 41.4364686)"

296,Ilısu,21,"(37.526941, 41.845508)","(37.5357895, 41.86151539999999)","(37.5180914, 41.8295006)"

297,Midyat,22,"(37.41514799999999, 41.37343)","(37.442224, 41.38596)","(37.406657, 41.29841)"

298,GÜLHARRİN DIŞ TİCARET,23,"(37.2381173, 40.7782556)","(37.23951822989272, 40.77973617989272)","(37.23681857010728, 40.77703652010727)"

299,Mor Hananyo Monastery,24,"(37.2990302, 40.7925749)","(37.30034592989272, 40.79391787989272)","(37.29764627010728, 40.79121822010728)"

300,מרדין,25,"(37.3442929, 40.6196487)","(37.740586, 41.8964691)","(36.9112791, 39.880273)"

301,Ortaköy,26,"(37.22187, 40.78407)","(37.2307546, 40.8000774)","(37.2129844, 40.76806260000001)"

302,Mardin Airport,27,"(37.2354852, 40.6349952)","(37.23683662989272, 40.63635777989273)","(37.23413697010728, 40.63365812010728)"

303,Kuşçukuru,28,"(37.95, 41.3)","(37.9587981, 41.3160074)","(37.9412009, 41.2839926)"

304,Mardin Artuklu University,29,"(37.3352521, 40.7067008)","(37.33673817989272, 40.70816627989272)","(37.33403852010728, 40.70546662010728)"

305,Mardin,0,"(37.312903, 40.733951)","(37.340449, 40.766385)","(37.3006559, 40.691066)"

306,Marmashen,0,"(40.8428541, 43.7558559)","(40.84437997989271, 43.75737087989272)","(40.84168032010727, 43.75467122010728)"

307,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

308,המוזיאון הלאומי של עיראק,1,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

309,شركة بلو للاصباغ الايطاليه - BLU,2,"(33.3134426, 44.4371184)","(33.31483662989272, 44.43840337989273)","(33.31213697010728, 44.43570372010728)"

310,اصباغ سان ماركو San Marco Paints,3,"(33.3136497, 44.4372339)","(33.31502597989272, 44.43854487989272)","(33.31232632010728, 44.43584522010728)"

311,כורדיסטאן העיראקית,4,"(36.4103395, 44.38719529999999)","(37.3712486, 46.3320922)","(34.4539171, 41.2783813)"

312,דור שרוכין,5,"(36.5101532, 43.2234763)","(36.5149825, 43.2275319)","(36.5052554, 43.2197428)"

313,Qasr Al-Abed,6,"(31.9128725, 35.7519492)","(31.91422962989272, 35.75337967989272)","(31.91152997010728, 35.75068002010727)"

314,אפגניסטן,7,"(33.93911, 67.709953)","(38.49087670000001, 74.8898619)","(29.3772, 60.5170005)"

315,בלך,8,"(36.7550603, 66.8975372)","(36.7744019, 66.9103004)","(36.739847, 66.879015)"

316,Marmo Meccanica,9,"(42.68212159999999, -83.28663809999999)","(42.68338067989271, -83.28564447010727)","(42.68068102010727, -83.28834412989272)"

317,Marmo Bra Srl,10,"(-34.6310285, -58.66737129999999)","(-34.62983337010727, -58.66581777010727)","(-34.63253302989271, -58.66851742989272)"

318,Özberk Madencilik Ltd. Şti.,0,"(40.4369563, 29.2506174)","(40.43838592989272, 29.25184402989272)","(40.43568627010727, 29.24914437010728)"

319,Marmos & Co OÜ,1,"(59.43603419999999, 24.7878473)","(59.43754527989271, 24.78937862989272)","(59.43484562010727, 24.78667897010727)"

320,Meher Kapısı,0,"(38.51715129999999, 43.38911510000001)","(38.51836482989272, 43.39042537989272)","(38.51566517010728, 43.38772572010728)"

321,Movana,0,"(21.3236521, 70.2252062)","(21.3256511, 70.2290107)","(21.3208136, 70.22212379999999)"

322,נהר מוראט,0,"(39.0822189, 41.8916645)","(39.7504477, 43.76644599999999)","(38.6812279, 39.91808460000001)"

323,Muradiye,0,"(38.994542, 43.767263)","(39.001156, 43.7824961)","(38.9732829, 43.7485309)"

324,מוש,0,"(38.734561, 41.491038)","(38.783503, 41.5406251)","(38.7182249, 41.472306)"

325,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

326,New Exim Solution (Export-Import Consultant),1,"(30.8368042, 47.2995758)","(30.83816187989273, 47.30040607989272)","(30.83546222010728, 47.29770642010727)"

327,Iraq Visa Stamping Services,2,"(28.5398382, 77.21782759999999)","(28.54123872989272, 77.21904347989272)","(28.53853907010728, 77.21634382010727)"

328,סטודיו לעיצוב גרפי | אבנר נגר,0,"(31.8746001, 35.1316606)","(31.87592207989272, 35.13297957989272)","(31.87322242010728, 35.13027992010728)"

329,"חגי נגר אדריכלים בע""מ",1,"(32.095383, 34.8245652)","(32.09673577989272, 34.82594412989272)","(32.09403612010728, 34.82324447010727)"

330,Dudi Nagar - CPA,2,"(31.949542, 34.8043805)","(31.95091507989272, 34.80575512989272)","(31.94821542010727, 34.80305547010727)"

331,ניר נגר - המרכז לתפנית עסקית,3,"(32.19814, 34.879502)","(32.19934647989272, 34.88086862989272)","(32.19664682010728, 34.87816897010728)"

332,ממתקי נגר רחל,4,"(32.8076106, 34.961384)","(32.80891972989272, 34.96260297989272)","(32.80622007010728, 34.95990332010727)"

333,Nagar,5,"(27.4242037, 77.09961299999999)","(27.4334512, 77.11642739999999)","(27.4144048, 77.0829964)"

334,סטופ מרקט הוד השרון,6,"(32.1302439, 34.8949633)","(32.13160912989272, 34.89620412989272)","(32.12890947010727, 34.89350447010728)"

335,Nagar Khas,7,"(36.2763768, 74.7199548)","(36.28288939999999, 74.758575)","(36.2475535, 74.7034492)"

336,Nagar,8,"(24.0921434, 87.9898205)","(24.1012201, 87.99544999999999)","(24.0815299, 87.98216)"

337,Nahr al Kalb,0,"(31.0230556, 47.4472222)","(31.0326171, 47.4632296)","(31.0134932, 47.4312148)"

338,עירק,1,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

339,Nahrawan,0,"(33.3769523, 44.7029603)","(33.3831495, 44.722638)","(33.3722552, 44.679594)"

340,Nalbandyan,0,"(40.06165, 43.9852874)","(40.0770206, 44.0010166)","(40.05090939999999, 43.9650105)"

341,נקש-י רוסתם,0,"(29.9886515, 52.8746126)","(29.99000132989272, 52.87596242989272)","(29.98730167010727, 52.87326277010727)"

342,נקש-י רוסתם,0,"(29.9886515, 52.8746126)","(29.99000132989272, 52.87596242989272)","(29.98730167010727, 52.87326277010727)"

343,Tell Ishchali,0,"(33.303056, 44.58425)","(33.30462267989272, 44.58615997989273)","(33.30192302010728, 44.58346032010728)"

344,Tell Ishchali,0,"(33.303056, 44.58425)","(33.30462267989272, 44.58615997989273)","(33.30192302010728, 44.58346032010728)"

345,ziggurat of Nimrud زقورة النمرود,0,"(36.1010762, 43.3270633)","(36.10291487989272, 43.32867467989272)","(36.10021522010728, 43.32597502010728)"

346,Technical Institute in Nimrud,1,"(36.1160282, 43.3185339)","(36.11736627989272, 43.31973392989273)","(36.11466662010728, 43.31703427010728)"

347,המוזיאון הלאומי של עיראק,2,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

348,עירק,3,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

349,כורדיסטאן העיראקית,4,"(36.4103395, 44.38719529999999)","(37.3712486, 46.3320922)","(34.4539171, 41.2783813)"

350,נינאווה,0,"(36.229574, 42.2362435)","(37.06963289999999, 44.30975309999999)","(34.8811661, 41.208749)"

351,Nippur Archeological Site,0,"(32.126444, 45.233381)","(32.12779382989272, 45.23473082989273)","(32.12509417010727, 45.23203117010728)"

352,Noragavit,0,"(40.11735789999999, 44.4737553)","(40.1302958, 44.4870705)","(40.1069663, 44.4594759)"

353,Ortadamla,0,"(39.2064, 43.04799999999999)","(39.2150455, 43.0640074)","(39.1977534, 43.0319926)"

354,Ortakentyahşi,0,"(37.049585, 27.347988)","(37.056264, 27.358183)","(37.0459869, 27.346309)"

355,Palmyra,0,"(34.8123158, 43.5131711)","(34.81422432989272, 43.52055694999999)","(34.81152467010727, 43.51070915)"

356,פסארגאדה,0,"(30.2002013, 53.1777932)","(30.20155112989272, 53.17903267989271)","(30.19885147010728, 53.17633302010727)"

357,פסארגאדה,0,"(30.2002013, 53.1777932)","(30.20155112989272, 53.17903267989271)","(30.19885147010728, 53.17633302010727)"

358,Patnos,0,"(39.233578, 42.86330299999999)","(39.2565839, 42.8954889)","(39.2090559, 42.8201898)"

359,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

360,איראן,0,"(32.427908, 53.688046)","(39.782056, 63.3333366)","(24.8066999, 44.0326949)"

361,Pirabat,0,"(39.754286, 42.5817799)","(39.7628637, 42.5977873)","(39.7457073, 42.5657725)"

362,קטאר,0,"(25.354826, 51.183884)","(26.2171, 51.7144001)","(24.471118, 50.7211001)"

363,Tell al-Rimah,0,"(36.3489278, 43.157736)","(36.35028707989272, 43.15908367989272)","(36.34758742010728, 43.15638402010728)"

364,שקע קטארה,0,"(29.9887792, 27.4996816)","(30.0289555, 27.5195436)","(29.9841392, 27.4707509)"

365,Razliq,0,"(38.0058809, 47.5495505)","(38.0132683, 47.5540743)","(37.9999334, 47.5436929)"

366,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

367,Sabaa Al Bour,1,"(33.4623014, 44.1528362)","(33.4726913, 44.1732787)","(33.4474133, 44.13860320000001)"

368,Imam Musa Al-Kadhim Mosque and Husainia,2,"(33.4695583, 44.14378689999999)","(33.47090927989272, 44.14518462989272)","(33.46820962010728, 44.14248497010728)"

369,Saba' Abkar,3,"(33.4034936, 44.3579421)","(33.4082224, 44.3617741)","(33.3961007, 44.3534494)"

370,אל-שדאדי,4,"(36.0558208, 40.731064)","(36.0721718, 40.7483768)","(36.0381015, 40.7013416)"

371,מסופוטמיה,5,"(34.5337527, 43.483738)","(37.06718100000001, 48.575909)","(29.1030541, 41.218105)"

372,Saba & Co. Intellectual Property,6,"(29.3675446, 47.9760583)","(29.36894517989272, 47.97737917989272)","(29.36624552010728, 47.97467952010728)"

373,סוריה,7,"(34.80207499999999, 38.996815)","(37.318693, 42.376309)","(32.311136, 35.62869999999999)"

374,קוזסטאן,8,"(31.4360149, 49.041312)","(33.09328, 50.433708)","(29.9426961, 47.6145045)"

375,Saba & Co Intellectual Property,9,"(31.9669925, 35.8899608)","(31.96828127989273, 35.89129747989271)","(31.96558162010729, 35.88859782010727)"

376,Saba & Co. Intellectual Property,10,"(33.851845, 35.539366)","(33.85326042989271, 35.54090637989272)","(33.85056077010727, 35.53820672010728)"

377,Saba & Co. Intellectual Property,11,"(26.2367706, 50.5804238)","(26.23822702989272, 50.58176472989271)","(26.23552737010728, 50.57906507010727)"

378,Saba & Co. Intellectual Property,12,"(25.266918, 51.51665759999999)","(25.26832997989273, 51.51791477989272)","(25.26563032010728, 51.51521512010727)"

379,Seqendel,0,"(38.4995617, 46.71864600000001)","(38.5011612, 46.7200899)","(38.4964592, 46.7164851)"

380,Seqendel,0,"(38.4995617, 46.71864600000001)","(38.5011612, 46.7200899)","(38.4964592, 46.7164851)"

381,Salmanağa,0,"(39.047414, 43.433028)","(39.052397, 43.438291)","(39.04206, 43.4258139)"

382,Sar-e Pol,0,"(36.216628, 65.93336)","(36.23838900000001, 65.9589957)","(36.1827099, 65.9110165)"

383,Armavir,0,"(40.1555525, 44.0388482)","(40.1838242, 44.0830708)","(40.1342167, 44.0020466)"

384,Sarmaç,0,"(38.499367, 43.49557799999999)","(38.5080989, 43.5115854)","(38.4906341, 43.4795706)"

385,סי-לאנד,0,"(32.081303, 34.770738)","(32.08266982989272, 34.77203882989272)","(32.07997017010727, 34.76933917010728)"

386,تل حرمل,0,"(33.3095041, 44.4673653)","(33.31068817989273, 44.46872442989272)","(33.30798852010728, 44.46602477010727)"

387,שהר-י סוח'תה,0,"(30.65, 61.4)","(30.6595987, 61.4160074)","(30.6404003, 61.38399259999999)"

388,Shisheh,0,"(33.8414872, 48.7743458)","(33.8507543, 48.7903532)","(33.8322191, 48.7583384)"

389,Sihke,0,"(38.501282, 43.3680188)","(38.5100136, 43.3840262)","(38.4925493, 43.3520114)"

390,Tulūl ad Dayr,0,"(33.0997222, 44.2983333)","(33.109069, 44.3143407)","(33.0903744, 44.2823259)"

391,Tulūl ad Dayr,0,"(33.0997222, 44.2983333)","(33.109069, 44.3143407)","(33.0903744, 44.2823259)"

392,Tulūl ad Dayr,0,"(33.0997222, 44.2983333)","(33.109069, 44.3143407)","(33.0903744, 44.2823259)"

393,Tulūl ad Dayr,0,"(33.0997222, 44.2983333)","(33.109069, 44.3143407)","(33.0903744, 44.2823259)"

394,Tulūl ad Dayr,0,"(33.0997222, 44.2983333)","(33.109069, 44.3143407)","(33.0903744, 44.2823259)"

395,Soğucak,0,"(37.782663, 27.298247)","(37.8257449, 27.302863)","(37.771352, 27.2614621)"

396,Spandaryan,0,"(39.6221652, 45.9067366)","(39.6323162, 45.9135389)","(39.6183174, 45.8949136)"

397,Suez International Co,0,"(31.9604152, 35.8785951)","(31.96173392989271, 35.87995077989272)","(31.95903427010727, 35.87725112010727)"

398,תעלת סואץ,1,"(30.5578479, 32.3388628)","(31.2270044, 32.6277455)","(29.9063401, 32.2653887)"

399,סואץ,2,"(29.9668343, 32.5498069)","(30.0211813, 32.5854957)","(29.9329452, 32.4374941)"

400,Sultantepe,0,"(37.052473, 38.904957)","(37.0564374, 38.9100394)","(37.0464721, 38.9038377)"

401,Al-Susah,0,"(34.5200967, 40.9612121)","(34.5293285, 40.9674168)","(34.5131696, 40.9490919)"

402,Shush,1,"(32.1957948, 48.254283)","(32.2146891, 48.2899761)","(32.1759031, 48.2338428)"

403,Apadana Castle Shush,2,"(32.1927727, 48.2493366)","(32.19547284999999, 48.25085142989272)","(32.19187265000001, 48.24815177010728)"

404,Iraq Embassy,0,"(33.5174616, 36.2849933)","(33.51889042989272, 36.28628877989272)","(33.51619077010728, 36.28358912010728)"

405,תיכרית,0,"(34.5990025, 43.675025)","(34.6877632, 43.7132263)","(34.5409242, 43.6235332)"

406,Taşköprü,0,"(41.50994499999999, 34.210284)","(41.513533, 34.2218259)","(41.4966579, 34.204098)"

407,Taştepe,0,"(40.350874, 26.836238)","(40.3539389, 26.8408981)","(40.347316, 26.833126)"

408,Taştepe,1,"(38.066359, 38.727657)","(38.0751431, 38.7436644)","(38.0575738, 38.7116496)"

409,Taştepe,2,"(41.964067, 27.138073)","(41.966327, 27.140817)","(41.962573, 27.1348429)"

410,Taştepe,3,"(39.907654, 26.303528)","(39.909553, 26.308277)","(39.904471, 26.300266)"

411,Tell Agrab,0,"(33.3390034, 44.8739534)","(33.34035322989271, 44.87530322989272)","(33.33765357010727, 44.87260357010728)"

412,Tell al-Rimah,0,"(36.3489278, 43.157736)","(36.35028707989272, 43.15908367989272)","(36.34758742010728, 43.15638402010728)"

413,Tell al-Rimah,0,"(36.3489278, 43.157736)","(36.35028707989272, 43.15908367989272)","(36.34758742010728, 43.15638402010728)"

414,Tell al-Rimah,0,"(36.3489278, 43.157736)","(36.35028707989272, 43.15908367989272)","(36.34758742010728, 43.15638402010728)"

415,Tell Al Ubaid,0,"(30.9722899, 46.0305932)","(30.97363972989273, 46.03194302989272)","(30.97094007010728, 46.02924337010727)"

416,Tell Al Ubaid,0,"(30.9722899, 46.0305932)","(30.97363972989273, 46.03194302989272)","(30.97094007010728, 46.02924337010727)"

417,תל יריחו,0,"(31.870816, 35.439442)","(31.87243722989272, 35.44100637989273)","(31.86973757010728, 35.43830672010728)"

418,Tell Fecheriye,0,"(36.8421039, 40.0701374)","(36.84344122989272, 40.07114982989272)","(36.84074157010727, 40.06845017010728)"

419,Tell Hammam et-Turkman,0,"(36.4824665, 39.0567601)","(36.48414207989272, 39.06297670000001)","(36.48144242010728, 39.05468789999999)"

420,دەتی_دهوک),0,"(36.8593132, 42.9857664)","(36.86098707989272, 42.98801835)","(36.85828742010728, 42.98501575)"

421,Alegra Boutique Hotel | אלגרה מלון בוטיק בירושלים,0,"(31.7675482, 35.1615527)","(31.76888667989272, 35.16293672989272)","(31.76618702010728, 35.16023707010728)"

422,تل حرمل,0,"(33.3095041, 44.4673653)","(33.31068817989273, 44.46872442989272)","(33.30798852010728, 44.46602477010727)"

423,تل حرمل,0,"(33.3095041, 44.4673653)","(33.31068817989273, 44.46872442989272)","(33.30798852010728, 44.46602477010727)"

424,תל ליילאן,0,"(36.9580695, 41.504396)","(36.9603171, 41.5073776)","(36.9551732, 41.5025282)"

425,Sabaa Al Bour,0,"(33.4623014, 44.1528362)","(33.4726913, 44.1732787)","(33.4474133, 44.13860320000001)"

426,Tell al-Rimah,1,"(36.3489278, 43.157736)","(36.35028707989272, 43.15908367989272)","(36.34758742010728, 43.15638402010728)"

427,עירק,2,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

428,Saba & Co. Intellectual Property,3,"(29.3675446, 47.9760583)","(29.36894517989272, 47.97737917989272)","(29.36624552010728, 47.97467952010728)"

429,Thanahat,0,"(25.6032673, 89.6722171)","(25.6435721, 89.69470299999999)","(25.559724, 89.6330436)"

430,Toprakkale,0,"(37.062415, 36.145216)","(37.076065, 36.1969768)","(37.039914, 36.126318)"

431,Topzawa Big,0,"(36.5755671, 43.7493449)","(36.5773518, 43.7532234)","(36.5728024, 43.74481189999999)"

432,Topzawa Big,0,"(36.5755671, 43.7493449)","(36.5773518, 43.7532234)","(36.5728024, 43.74481189999999)"

433,Iğdır,0,"(39.92005959999999, 44.0436151)","(39.950163, 44.092825)","(39.884109, 43.9807289)"

434,Tsovak,0,"(40.1808565, 45.6365787)","(40.191922, 45.6528711)","(40.1778895, 45.6216717)"

435,Tsovinar,0,"(40.1587936, 45.4693737)","(40.16490400000001, 45.4836559)","(40.1477168, 45.448122)"

436,At Tuba,0,"(30.46666699999999, 47.5)","(30.47628389999999, 47.5160074)","(30.4570492, 47.4839926)"

437,Al Tuba Wa Al Nakhila,1,"(30.5456803, 47.7415664)","(30.5579373, 47.746582)","(30.5374436, 47.7346087)"

438,Tuba Hotel,2,"(36.1998057, 44.0277676)","(36.20112092989272, 44.02913747989272)","(36.19842127010727, 44.02643782010728)"
